2020-11-21 13:46:51.354 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.14.Final
2020-11-21 13:46:51.413 [main] INFO  com.sst.App - Starting App on DESKTOP-OFF6OBD with PID 9060 (E:\seckill2\shoppings\target\classes started by Administrator in E:\seckill2\shoppings)
2020-11-21 13:46:51.416 [main] INFO  com.sst.App - No active profile set, falling back to default profiles: default
2020-11-21 13:46:52.888 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-21 13:46:52.892 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-11-21 13:46:52.952 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32ms. Found 0 Redis repository interfaces.
2020-11-21 13:46:54.345 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 80 (http)
2020-11-21 13:46:54.364 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-80"]
2020-11-21 13:46:54.365 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-11-21 13:46:54.366 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-11-21 13:46:54.607 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-11-21 13:46:54.608 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3025 ms
2020-11-21 13:46:57.337 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-21 13:46:57.531 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2020-11-21 13:46:58.161 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-80"]
2020-11-21 13:46:58.197 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 80 (http) with context path ''
2020-11-21 13:46:58.213 [main] INFO  com.sst.App - Started App in 7.62 seconds (JVM running for 9.733)
2020-11-21 13:47:14.446 [http-nio-80-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-21 13:47:14.447 [http-nio-80-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-21 13:47:14.467 [http-nio-80-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 20 ms
2020-11-21 13:49:07.678 [http-nio-80-exec-4] INFO  com.sst.log.Log - [org.apache.catalina.connector.RequestFacade@558837e, org.springframework.web.bind.MissingServletRequestParameterException: Required String parameter 'userTelephone' is not present]
2020-11-21 13:54:13.797 [http-nio-80-exec-7] INFO  com.sst.log.Log - [org.apache.catalina.connector.RequestFacade@558837e, org.springframework.web.bind.MissingServletRequestParameterException: Required String parameter 'userTelephone' is not present]
2020-11-21 13:57:55.153 [http-nio-80-exec-10] INFO  com.sst.log.Log - [org.apache.catalina.connector.RequestFacade@558837e, org.springframework.web.bind.MissingServletRequestParameterException: Required String parameter 'userTelephone' is not present]
2020-11-21 14:05:54.546 [http-nio-80-exec-3] INFO  com.sst.log.Log - [org.apache.catalina.connector.RequestFacade@558837e, org.springframework.web.bind.MissingServletRequestParameterException: Required String parameter 'userTelephone' is not present]
2020-11-21 14:06:39.231 [http-nio-80-exec-5] INFO  com.sst.log.Log - [org.apache.catalina.connector.RequestFacade@558837e, org.springframework.web.bind.MissingServletRequestParameterException: Required String parameter 'userTelephone' is not present]
2020-11-21 14:15:15.985 [http-nio-80-exec-7] INFO  com.sst.log.Log - [org.apache.catalina.connector.RequestFacade@558837e, org.springframework.web.bind.MissingServletRequestParameterException: Required String parameter 'userTelephone' is not present]
2020-11-21 14:19:57.359 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.14.Final
2020-11-21 14:19:57.373 [main] INFO  com.sst.App - Starting App on DESKTOP-OFF6OBD with PID 1732 (E:\seckill2\shoppings\target\classes started by Administrator in E:\seckill2\shoppings)
2020-11-21 14:19:57.376 [main] INFO  com.sst.App - No active profile set, falling back to default profiles: default
2020-11-21 14:19:58.608 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-21 14:19:58.611 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-11-21 14:19:58.648 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22ms. Found 0 Redis repository interfaces.
2020-11-21 14:19:59.530 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 80 (http)
2020-11-21 14:19:59.540 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-80"]
2020-11-21 14:19:59.541 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-11-21 14:19:59.541 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-11-21 14:19:59.644 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-11-21 14:19:59.644 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2085 ms
2020-11-21 14:20:00.897 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-21 14:20:00.995 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2020-11-21 14:20:01.440 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-80"]
2020-11-21 14:20:01.480 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 80 (http) with context path ''
2020-11-21 14:20:01.492 [main] INFO  com.sst.App - Started App in 4.838 seconds (JVM running for 6.992)
2020-11-21 14:20:23.956 [http-nio-80-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-21 14:20:23.957 [http-nio-80-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-21 14:20:23.975 [http-nio-80-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 18 ms
2020-11-21 14:20:24.039 [http-nio-80-exec-1] INFO  com.sst.log.Log - [org.apache.catalina.connector.RequestFacade@365ee42b, org.springframework.web.bind.MissingServletRequestParameterException: Required String parameter 'userTelephone' is not present]
2020-11-21 14:22:09.920 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.14.Final
2020-11-21 14:22:09.952 [main] INFO  com.sst.App - Starting App on DESKTOP-OFF6OBD with PID 10508 (E:\seckill2\shoppings\target\classes started by Administrator in E:\seckill2\shoppings)
2020-11-21 14:22:09.956 [main] INFO  com.sst.App - No active profile set, falling back to default profiles: default
2020-11-21 14:22:11.136 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-21 14:22:11.139 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-11-21 14:22:11.181 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26ms. Found 0 Redis repository interfaces.
2020-11-21 14:22:11.941 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 80 (http)
2020-11-21 14:22:11.951 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-80"]
2020-11-21 14:22:11.952 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-11-21 14:22:11.952 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-11-21 14:22:12.073 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-11-21 14:22:12.074 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1989 ms
2020-11-21 14:22:13.387 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-21 14:22:13.485 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2020-11-21 14:22:13.923 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-80"]
2020-11-21 14:22:13.948 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 80 (http) with context path ''
2020-11-21 14:22:13.961 [main] INFO  com.sst.App - Started App in 4.629 seconds (JVM running for 6.74)
2020-11-21 14:22:21.449 [http-nio-80-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-21 14:22:21.451 [http-nio-80-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-21 14:22:21.483 [http-nio-80-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 32 ms
2020-11-21 14:22:21.593 [http-nio-80-exec-1] INFO  com.sst.log.Log - [org.apache.catalina.connector.RequestFacade@67718e68, java.lang.NullPointerException]
2020-11-21 14:22:55.453 [http-nio-80-exec-2] INFO  com.sst.log.Log - [org.apache.catalina.connector.RequestFacade@67718e68, java.lang.NullPointerException]
2020-11-21 14:25:23.410 [http-nio-80-exec-4] INFO  com.sst.log.Log - [org.apache.catalina.connector.RequestFacade@67718e68, java.lang.NullPointerException]
2020-11-21 14:29:45.004 [http-nio-80-exec-6] INFO  com.sst.log.Log - [org.apache.catalina.connector.RequestFacade@67718e68, java.lang.NullPointerException]
2020-11-21 14:30:21.806 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.14.Final
2020-11-21 14:30:21.806 [main] INFO  com.sst.App - Starting App on DESKTOP-OFF6OBD with PID 12792 (E:\seckill2\shoppings\target\classes started by Administrator in E:\seckill2\shoppings)
2020-11-21 14:30:21.812 [main] INFO  com.sst.App - No active profile set, falling back to default profiles: default
2020-11-21 14:30:23.120 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-21 14:30:23.123 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-11-21 14:30:23.168 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26ms. Found 0 Redis repository interfaces.
2020-11-21 14:30:24.047 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 80 (http)
2020-11-21 14:30:24.057 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-80"]
2020-11-21 14:30:24.057 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-11-21 14:30:24.058 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-11-21 14:30:24.157 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-11-21 14:30:24.157 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2173 ms
2020-11-21 14:30:25.826 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-21 14:30:25.988 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2020-11-21 14:30:26.438 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-80"]
2020-11-21 14:30:26.471 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 80 (http) with context path ''
2020-11-21 14:30:26.489 [main] INFO  com.sst.App - Started App in 5.266 seconds (JVM running for 7.136)
2020-11-21 14:30:43.163 [http-nio-80-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-21 14:30:43.164 [http-nio-80-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-21 14:30:43.189 [http-nio-80-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 24 ms
2020-11-21 14:30:43.273 [http-nio-80-exec-1] INFO  com.sst.log.Log - [org.apache.catalina.connector.RequestFacade@7a5748bd, org.springframework.web.bind.MissingServletRequestParameterException: Required String parameter 'userTelephone' is not present]
2020-11-21 14:35:18.577 [http-nio-80-exec-4] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpMediaTypeNotSupportedException: Content type 'application/json;charset=UTF-8' not supported]
2020-11-21 14:37:05.958 [http-nio-80-exec-7] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpMediaTypeNotSupportedException: Content type 'application/json;charset=UTF-8' not supported]
2020-11-21 14:37:18.647 [http-nio-80-exec-8] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' not supported]
