2020-11-08 21:47:57.248 [http-nio-80-exec-10] INFO  com.sst.log.Log - 返回值：com.sst.service.model.GoodsModel@1d2440c8
2020-11-08 21:47:57.248 [http-nio-80-exec-10] INFO  com.sst.log.Log - GoodsModel com.sst.service.impl.GoodsServiceImpl.getGoodsDetails(Integer)执行完成。 后置
2020-11-08 22:01:29.608 [http-nio-80-exec-1] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsCategoryAll(),[]
2020-11-08 22:01:29.611 [http-nio-80-exec-1] INFO  com.sst.log.Log - 前置增加：执行方法：List com.sst.service.impl.GoodsCategoryServiceImpl.getGoodsCategoryAll()。参数为：[]
2020-11-08 22:01:29.612 [http-nio-80-exec-2] INFO  com.sst.log.Log - void com.sst.controller.BaesController.initDate(WebDataBinder),[org.springframework.web.servlet.mvc.method.annotation.ExtendedServletRequestDataBinder@398c5757]
2020-11-08 22:01:29.613 [http-nio-80-exec-2] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsDetails(Integer),[1]
2020-11-08 22:01:29.613 [http-nio-80-exec-2] INFO  com.sst.log.Log - 前置增加：执行方法：GoodsModel com.sst.service.impl.GoodsServiceImpl.getGoodsDetails(Integer)。参数为：[1]
2020-11-08 22:01:29.629 [http-nio-80-exec-2] INFO  com.sst.log.Log - 返回值：com.sst.service.model.GoodsModel@730b76c9
2020-11-08 22:01:29.630 [http-nio-80-exec-2] INFO  com.sst.log.Log - GoodsModel com.sst.service.impl.GoodsServiceImpl.getGoodsDetails(Integer)执行完成。 后置
2020-11-08 22:01:29.635 [http-nio-80-exec-1] INFO  com.sst.log.Log - 返回值：[com.sst.service.model.GoodsCategoryModel@24d57e69, com.sst.service.model.GoodsCategoryModel@13baad80, com.sst.service.model.GoodsCategoryModel@402842e5]
2020-11-08 22:01:29.635 [http-nio-80-exec-1] INFO  com.sst.log.Log - List com.sst.service.impl.GoodsCategoryServiceImpl.getGoodsCategoryAll()执行完成。 后置
2020-11-08 22:02:13.007 [http-nio-80-exec-4] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsCategoryAll(),[]
2020-11-08 22:02:13.007 [http-nio-80-exec-3] INFO  com.sst.log.Log - void com.sst.controller.BaesController.initDate(WebDataBinder),[org.springframework.web.servlet.mvc.method.annotation.ExtendedServletRequestDataBinder@14d3b2bb]
2020-11-08 22:02:13.008 [http-nio-80-exec-3] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsDetails(Integer),[1]
2020-11-08 22:02:13.008 [http-nio-80-exec-3] INFO  com.sst.log.Log - 前置增加：执行方法：GoodsModel com.sst.service.impl.GoodsServiceImpl.getGoodsDetails(Integer)。参数为：[1]
2020-11-08 22:02:13.023 [http-nio-80-exec-3] INFO  com.sst.log.Log - 返回值：com.sst.service.model.GoodsModel@755ac365
2020-11-08 22:02:13.023 [http-nio-80-exec-3] INFO  com.sst.log.Log - GoodsModel com.sst.service.impl.GoodsServiceImpl.getGoodsDetails(Integer)执行完成。 后置
2020-11-08 22:02:18.046 [http-nio-80-exec-6] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsCategoryAll(),[]
2020-11-08 22:02:18.088 [http-nio-80-exec-5] INFO  com.sst.log.Log - void com.sst.controller.BaesController.initDate(WebDataBinder),[org.springframework.web.servlet.mvc.method.annotation.ExtendedServletRequestDataBinder@3f893867]
2020-11-08 22:02:18.089 [http-nio-80-exec-5] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsDetails(Integer),[1]
2020-11-08 22:02:18.089 [http-nio-80-exec-5] INFO  com.sst.log.Log - 前置增加：执行方法：GoodsModel com.sst.service.impl.GoodsServiceImpl.getGoodsDetails(Integer)。参数为：[1]
2020-11-08 22:02:18.104 [http-nio-80-exec-5] INFO  com.sst.log.Log - 返回值：com.sst.service.model.GoodsModel@40934abc
2020-11-08 22:02:18.104 [http-nio-80-exec-5] INFO  com.sst.log.Log - GoodsModel com.sst.service.impl.GoodsServiceImpl.getGoodsDetails(Integer)执行完成。 后置
2020-11-08 22:05:26.963 [http-nio-80-exec-7] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsCategoryAll(),[]
2020-11-08 22:05:26.964 [http-nio-80-exec-9] INFO  com.sst.log.Log - void com.sst.controller.BaesController.initDate(WebDataBinder),[org.springframework.web.servlet.mvc.method.annotation.ExtendedServletRequestDataBinder@165c1f8e]
